title,director,year,cast,description
碟中谍6：全面瓦解,克里斯托弗・麦奎里,2018,汤姆・克鲁斯 亨利・卡维尔 文・瑞姆斯,动作 惊悚 冒险
蚁人2：黄蜂女现身,佩顿・里德,2018,保罗・路德 伊万杰琳・莉莉 迈克尔・佩纳,动作 科幻 冒险
苏丹,阿里・阿巴斯・札法,2016,萨尔曼・汗 安努舒卡・莎玛 马雷塞・克伦普,剧情 运动
一出好戏,黄渤,2018,黄渤 舒淇 王宝强,剧情 喜剧
快把我哥带走,郑芬芬,2018,张子枫 彭昱畅 赵今麦,喜剧 奇幻
巨齿鲨,乔・德特杜巴,2018,杰森・斯坦森 李冰冰 雷恩・威尔森,动作 科幻 惊悚
精灵旅社3：疯狂假期,格恩迪・塔塔科夫斯基,2018,亚当・桑德勒 凯瑟琳・哈恩 史蒂夫・布西密,喜剧 动画 奇幻
西虹市首富,闫非,2018,沈腾 宋芸桦 张一鸣,喜剧
藏北秘岭-重返无人区,饶子君,2018,蔡宇 饶子君 土旦巴桑,纪录片
那些女人,吴贻弓,2018,何赛飞 胡可 殷桃,剧情
大师兄,阚家伟,2018,甄子丹 陈乔恩 喻亢,喜剧 动作
深海历险记,Julio Soto Gurpide,2018,张璐 陈红 张云龙,喜剧 动画 冒险
超大号美人,艾比・科恩,2018,艾米・舒默 米歇尔・威廉姆斯 汤姆・霍珀,喜剧
解剖室灵异事件之男生宿舍,战越,2018,陈楚洹 黄启航 龚婉怡,惊悚 恐怖
小偷家族,是枝裕和,2018,中川雅也 安藤樱 松冈茉优,剧情 犯罪 家庭
大三儿,佟晟嘉,2018,叶云,纪录片
信仰者,杨虎,2018,黄少祺 赵毅 葛子铭,剧情 传记 历史
我不是药神,文牧野,2018,徐峥 王传君 周一围,剧情 喜剧
新乌龙院之笑闹江湖,朱延平,2018,王宁 孔连顺 王智,剧情 喜剧 动作
黑子的篮球・终极一战,多田俊介,2017,小野贤章 小野友树 神谷浩史,动画 运动
